miRNAs,logFC,AveExpr,t,P.Value,adj.P.Val,B
hsa-miR-4467,1.37549378779293,9.1725633115703,4.01247274273364,0.000818607786320802,0.00878104537800819,-0.899046882141376
hsa-miR-4750-5p,1.3611480451919,8.03030678556778,4.25529817150387,0.000477233388518837,0.00601892534247091,-0.366762901233306
hsa-miR-4726-5p,1.35366136370766,13.1829094230368,6.17608274176488,7.91819158477997e-06,0.000261551693459161,3.71589149663523
hsa-miR-4447,1.34142558781225,11.2147669827494,5.64083268865483,2.38223181288576e-05,0.000612027704026575,2.61522650271073
hsa-miR-4744,1.30718053281742,6.04282300807692,3.95511397054866,0.000930101028243263,0.00939582640667102,-1.02468146615777
hsa-miR-3202,1.259894902632,11.755065320818,6.94089564385256,1.75221037923496e-06,7.92684738953904e-05,5.22281167790918
hsa-miR-936,1.23820039641833,8.86419471861925,5.19271613226459,6.15367105730276e-05,0.00123806650832478,1.66804440941494
hsa-miR-3908,1.23704405779313,6.19683594891848,3.99039895460275,0.000859832574552327,0.00903692721032016,-0.947405058100798
hsa-miR-4421,1.23189406260616,11.4625149117826,4.61394835928149,0.000216195530754706,0.00331475727329873,0.417630022592694
hsa-miR-1258,1.22907194251221,6.61375487902021,4.16291460196025,0.000585849768811281,0.00692700777781975,-0.569284961306076
hsa-miR-585-3p,1.12123243391054,5.54689171170678,5.1427961604836,6.84936700225379e-05,0.00133210586277478,1.56126208551022
hsa-miR-4327,1.12103657131558,9.31302065364024,4.16382060948395,0.000584671864341785,0.00692700777781975,-0.567298625091639
hsv2-miR-H10,1.1086790511227,5.56559195071288,4.13319914398244,0.000625836698823589,0.0072353676125105,-0.634433079388852
hsa-miR-4690-5p,1.05967956124352,6.48428339688581,3.9795512217009,0.000880848911491125,0.00911963475031358,-0.971165684667723
hsa-miR-1185-1-3p,1.03236235106717,6.86741049585757,4.73575340471002,0.000165547593263087,0.00280084993154864,0.682760912718147
hsa-miR-127-3p,1.01551615019632,12.1529783410611,3.9568473181987,0.000926518309554669,0.00939582640667102,-1.02088609804586
hsv2-miR-H11-5p,-1.00354812442586,5.54938468328425,-4.54871300321386,0.000249535603054069,0.00363135377591272,0.275309913137085
hsa-miR-369-3p,-1.00959319952938,4.82697651408838,-4.9670681136456,0.000100064314961768,0.00182661262662666,1.18359811999502
hsa-miR-193b-3p,-1.01349149621074,6.24526120545021,-4.64699240339199,0.00020107059494498,0.00318654656111299,0.489638614518089
hsa-miR-3074-5p,-1.04119935785295,5.99155138152275,-4.07652403997804,0.000709880207025589,0.00789978989743449,-0.758676721515061
hsa-miR-26b-3p,-1.04155420266125,5.03765620430199,-5.15810876184081,6.62780616654833e-05,0.00130117590873463,1.59404151542925
hsa-miR-3667-5p,-1.09744223390781,8.56306255545497,-4.23789374107617,0.000496017000216123,0.0061591635706139,-0.404911491822156
hsa-miR-3200-5p,-1.11871344918741,4.55128672489446,-4.26768698022753,0.000464301641268249,0.00592767923606887,-0.339610270232887
hsa-miR-767-5p,-1.1206667585793,8.2046614655334,-4.24127516675982,0.000492310131029757,0.0061591635706139,-0.397499514015078
hsa-miR-4288,-1.12103285963491,11.4768766587667,-4.0790552282213,0.000705895082871431,0.00789978989743449,-0.753128390582942
hsa-miR-455-3p,-1.14296794267733,6.2698027605292,-4.21041363526364,0.000527205211295454,0.00637857002735953,-0.465150976864472
hsa-miR-411-3p,-1.14331795300878,7.58221389565786,-4.00779153961474,0.000827181301139593,0.00882750916754611,-0.909303101584319
hsa-miR-4754,-1.14569209646768,5.67016570915367,-4.58622984760412,0.000229771250671384,0.00343995663774929,0.357183326875953
mcv-miR-M1-3p,-1.15828950438924,7.71162939979748,-4.29562176461987,0.000436425352306935,0.00575033665851044,-0.27839367863361
hsa-miR-3924,-1.17779674373965,10.1909171633933,-6.2336128054986,7.04966556569173e-06,0.000236618613583943,3.83201405056262
hsa-miR-3686,-1.20241666104501,10.433254570565,-4.61008022508626,0.000218040017601282,0.00331475727329873,0.409196972320109
hsa-miR-3136-3p,-1.20971392323306,11.603612893841,-6.38528647525949,5.20062694688756e-06,0.000187329678521336,4.1360447666215
ebv-miR-BART14-3p,-1.21180287856818,6.37295008866563,-7.17577235615205,1.12027379925818e-06,6.13497309541124e-05,5.66921561026132
hsa-miR-433-5p,-1.21233318925825,9.15617081229804,-6.25060665010938,6.81240118474418e-06,0.000232403391236929,3.8662315771189
