miRNAs,logFC,AveExpr,t,P.Value,adj.P.Val,B
hsa-miR-5193,1.79209639804675,9.78768271611801,7.93613363995803,2.77065081722331e-07,1.8262433281443e-05,7.03787433488351
hsa-miR-665,1.75621679751272,9.3186166352754,5.2621095301744,5.30474725434307e-05,0.000900176376536625,1.77196741294058
hsa-miR-3184-3p,1.72006309555965,10.0275576460369,7.07272495754834,1.36192220351557e-06,6.03012788407638e-05,5.44374855698096
hsa-miR-4483,1.71781375448042,9.6217267153496,4.31867655994246,0.000414695750508061,0.00438061856247348,-0.277574664817508
hsa-miR-892a,1.71557348653527,10.2197220541415,6.70412544554126,2.7714538078038e-06,9.72966032468594e-05,4.73130995848014
hsa-miR-4730,1.70332532325653,7.78059020525356,4.80286735313669,0.000142979346190649,0.00187132087687258,0.781498883745908
hsa-miR-4701-3p,1.64262308438185,5.94314173226014,3.87803370310144,0.00110427940041415,0.00990519582871483,-1.24529506948656
hsa-miR-4726-5p,1.62634563545254,13.1829094230368,7.42020528956478,7.0893199601801e-07,3.51258924693685e-05,6.0979100902753
hsa-miR-3960,1.60592301999084,10.9815822612267,4.24810577677048,0.000484907135157401,0.0050203569565301,-0.432595534341441
hsa-miR-576-5p,1.60572960791018,9.58940888325811,5.99901056800494,1.13530667610333e-05,0.000281258713448931,3.31670811241273
hsa-miR-5684,1.60018658055254,11.2259689405459,4.38219044306567,0.000360318417288909,0.00394643487567484,-0.13813482805002
hsa-miR-3158-3p,1.59504789414985,5.39550057309937,5.36720518443616,4.24095653181416e-05,0.000754310302795321,1.99595052721037
hsa-miR-610,1.59081245278362,5.96414911163114,4.1161558563551,0.000649999712833675,0.00659828976783843,-0.722550519523617
hsa-miR-4327,1.58272699763971,9.31302065364024,5.87865860988371,1.45371971137455e-05,0.000339909069592183,3.06877150188921
hsa-miR-216a-3p,1.56477223415047,8.60977105339662,4.08548426482446,0.000695873982587944,0.00692877396060054,-0.789944709332779
hsa-miR-4441,1.54070801794512,10.7674642830324,7.70939336204331,4.16875068304797e-07,2.40976949206189e-05,6.62937387190882
hsa-miR-3611,1.53293244840477,11.1728206725976,4.43215293676128,0.00032265337834584,0.00368924000185545,-0.0285188982331599
hsa-miR-1587,1.53009404319538,9.57949241175983,4.20247674028742,0.000536575883754018,0.00552779412916887,-0.532857868942151
hsa-miR-595,1.51981806540576,8.32398450373013,5.35205344965695,4.37969865324839e-05,0.000772385838763551,1.96372758083057
hsa-miR-4784,1.50588404561547,12.0811183213797,5.21236676159238,5.90004146264369e-05,0.000990160184174315,1.66557420789433
hsa-miR-657,1.48019937214267,7.52086521115173,4.49034185585422,0.000283774680556696,0.00328075061243602,0.0990447573893931
hsa-miR-3670,1.45043584294763,6.67146230015878,7.31568124472764,8.61294734403211e-07,4.07353259612064e-05,5.90292271568797
hsa-let-7a-2-3p,1.43813108486416,7.74181543992387,4.08058686402976,0.000703494594046367,0.00693825711000232,-0.800704845098411
hsa-miR-138-5p,1.4186137921306,6.54450966469178,5.7208236326387,2.01602823464896e-05,0.000428097424112703,2.74092103790381
hsa-miR-3650,1.39700425200603,11.5076664919657,4.41748603958869,0.000333277364005113,0.00371104128840974,-0.0606899403380155
hsa-miR-3657,1.36498921584136,5.85150300799839,4.41721558277447,0.000333476559794628,0.00371104128840974,-0.0612832346228904
hsa-miR-4508,1.35812690366686,7.8103842908268,5.10175736000879,7.48127780032081e-05,0.00121629211738028,1.42816466117306
hsa-miR-4778-3p,1.34782973525204,7.77315365662466,5.47912724553786,3.34616777286994e-05,0.000627331093274085,2.2332286018153
hsa-miR-4673,1.32519229295878,8.27891409459323,4.9051952252406,0.000114434402727266,0.00161998634064925,1.00366415406732
hsa-miR-4421,1.29402506701562,11.4625149117826,4.84665444542744,0.000129968292829069,0.0017562598530993,0.876655990639988
hsa-miR-4687-3p,1.28277375367431,8.51354482243667,3.8733804284649,0.00111578365742933,0.00992284526115574,-1.25549348135699
hsa-miR-4447,1.27913569288867,11.2147669827494,5.37889726812148,4.13697919406728e-05,0.000748613365465565,2.02079970998215
